Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
online course for power bi,320,LOW,33,277.05,836.53,Yes,Bouquet INR - 2
microsoft power bi dashboard,320,LOW,10,293.19,1500.01,No,
data camp power bi,320,MEDIUM,35,164.08,664.93,No,
power bi and sql,320,LOW,32,140.77,574.72,No,
microsoft power bi data analyst associate certification,320,LOW,7,203.53,614.93,Yes,Bouquet INR - 2
power bi and sharepoint,320,LOW,7,248.73,679.43,No,
power bi bootcamp,260,HIGH,72,341.60,1664.99,No,
udemy power bi course,260,MEDIUM,35,56.49,500.30,No,
power bi course free with certificate,260,HIGH,71,129.11,486.85,No,
jira power bi,260,LOW,33,516.44,1995.83,No,
azure power bi,260,LOW,19,272.57,926.19,No,
microsoft power bi data analyst,260,MEDIUM,62,284.27,971.91,No,
power bi pl 300,260,MEDIUM,53,200.39,569.34,No,
power bi financial dashboard,260,MEDIUM,45,442.02,1352.07,No,
power bi data analyst associate,260,MEDIUM,53,209.80,665.28,No,
data analytics power bi,260,LOW,13,178.42,631.21,No,
bi analyst certification,260,HIGH,82,417.57,1409.46,No,
arcgis for power bi,260,LOW,3,214.29,3184.72,No,
power bi data analysis,260,LOW,13,178.42,631.21,Yes,Bouquet INR - 2
power bi pl300,260,MEDIUM,53,200.39,569.34,No,
power bi microsoft com,260,MEDIUM,33,275.77,878.67,No,
best power bi dashboard,260,MEDIUM,46,164.97,580.13,No,
powerbi pl300,260,MEDIUM,53,200.39,569.34,No,
powerbi pl 300,260,MEDIUM,53,200.39,569.34,No,
deneb power bi,260,LOW,8,269.88,498.51,No,
power bi coursera,210,MEDIUM,55,188.83,668.86,No,
power bi analytics,210,LOW,30,249.25,889.43,No,
linkedin learning power bi,210,LOW,22,213.39,576.28,No,
microsoft bi certification,210,MEDIUM,62,248.81,785.42,No,
microsoft power bi certification free,210,MEDIUM,49,137.18,519.13,No,
google bi,210,LOW,9,235.81,1016.74,No,
ms bi,210,LOW,30,355.95,1659.61,No,
power bi training and certification,210,HIGH,81,304.84,912.74,Yes,Bouquet INR - 2
power bi for project management,210,LOW,32,296.17,1775.27,No,
power bi project management,210,LOW,32,296.17,1775.27,No,
bi as a service,210,MEDIUM,46,557.69,2137.45,No,
microsoft business intelligence certification,210,MEDIUM,62,248.81,785.42,No,
microsoft pl 300 certification,210,MEDIUM,55,234.91,686.80,No,
dax training courses,210,MEDIUM,55,253.40,882.25,No,
power bi on premise,210,LOW,5,391.81,1374.49,No,
microsoft pl 300 exam,210,MEDIUM,44,219.67,593.55,No,
arcgis power bi,210,LOW,4,194.56,523.61,No,
microsoft certified data analyst associate certification,210,LOW,2,,,No,
power bi in powerpoint,210,LOW,1,,,No,
power bi powerpoint,210,LOW,1,,,No,
microsoft pl300 exam,210,MEDIUM,44,219.67,593.55,No,
power bi expert,170,MEDIUM,42,1177.24,8237.96,No,
power bi classes near me,170,HIGH,68,245.67,867.01,No,
power bi course free,170,HIGH,72,117.45,432.70,No,
power b1,170,MEDIUM,49,166.45,830.29,No,
bi training,170,LOW,30,215.18,739.70,Yes,Flexi
bi certification,170,HIGH,71,245.67,997.92,No,
microsoft power bi data analyst certification,170,LOW,23,211.60,785.42,No,
power query course,170,MEDIUM,64,130.01,499.41,No,
power bi google analytics,170,LOW,9,316.50,775.22,No,
microsoft 365 power bi,170,LOW,12,274.36,1214.05,No,
learn microsoft power bi,170,MEDIUM,42,217.59,611.48,Yes,Bouquet INR - 2
power query training,170,HIGH,75,141.66,594.45,No,
aws power bi,170,LOW,5,236.70,1270.48,No,
google bi tool,170,LOW,14,516.44,1622.85,No,
salesforce bi,170,LOW,31,463.52,2480.00,No,
microsoft power bi service,170,LOW,2,665.28,2189.81,Yes,Bouquet INR - 2
power query classes,170,MEDIUM,64,130.01,499.41,No,
power bi on aws,170,LOW,5,236.70,1270.48,No,
snowflake power bi,170,LOW,17,211.60,571.72,No,
